x,y,object_id,global_id,location_name,location_details,location_hours,ssid,password_required,password_details,account_required,account_details,street1,street2,city,state,zip,web_site,amenities_restroom,amenities_seating,amenities_vending,amenities_details,public_notes,location_type,id
-80.006667076,40.456544218,22,6adecc06-b03e-4d52-ae47-4557b39331de,Carnegie Library of Pittsburgh - Allegheny,In building and on sidewalk,"24 hours/day, 7 days/week",CLP-Allegheny,No,,No,Requires click-through on captive portal to access,1230 Federal Street,,Pittsburgh,PA,15212,https://www.carnegielibrary.org/clp_location/allegheny/,yes,yes,no,Adjacent to Federal street restuarants and Allegheny Commons Park,,Institutional,CLP_Allegheny
-80.0277097219999,40.4070464810001,23,28feaf52-49f3-4c12-aaed-c42fc1f1cfc3,Carnegie Library of Pittsburgh - Beechview,In building and on sidewalk,"24 hours/day, 7 days/week",CLP-Beechview,No,,No,Requires click-through on captive portal to access,1910 Broadway Avenue,,Pittsburgh,PA,15216,https://www.carnegielibrary.org/clp_location/beechview/,yes,yes,no,adjacent to Belasco T stop,,Institutional,CLP_Beechview
-80.021396797,40.394401142,24,5e382f99-c41b-4837-aaad-b79cd4340a2b,Carnegie Library of Pittsburgh - Brookline,In building and on sidewalk,"24 hours/day, 7 days/week",CLP-Brookline,No,,No,Requires click-through on captive portal to access,708 Brookline Boulevard,,Pittsburgh,PA,15226,https://www.carnegielibrary.org/clp_location/brookline,yes,yes,no,located in Brookline business district,,Institutional,CLP_Brookline
-79.98754717,40.397006377,25,665e443b-3348-4d93-8a42-0bf860ee61f0,Carnegie Library of Pittsburgh - Carrick,In building and on sidewalk,"24 hours/day, 7 days/week",CLP-Carrick,No,,No,Requires click-through on captive portal to access,1811 Brownsville Road,,Pittsburgh,PA,15210,https://www.carnegielibrary.org/clp_location/carrick,yes,yes,no,street parking available,,Institutional,CLP_Carrick
-79.926536517,40.4609383050001,27,f01d16aa-3717-4f3c-bf6a-81b507c167e6,Carnegie Library of Pittsburgh - East Liberty,In building and on sidewalk,"24 hours/day, 7 days/week",CLP-East Liberty,No,,No,Requires click-through on captive portal to access,130 S. Whitfield Street,,Pittsburgh,PA,15206,https://www.carnegielibrary.org/clp_location/east-liberty,yes,yes,no,Parking lot behind library on Beatty Street,,Institutional,CLP_East_Liberty
-79.9438978219999,40.4082333640001,28,e9acd4e7-46b0-40a5-a629-f83b06f3731d,Carnegie Library of Pittsburgh - Hazelwood,In building and on sidewalk,"24 hours/day, 7 days/week",CLP-Hazelwood,No,,No,Requires click-through on captive portal to access,5006 Second Avenue,,Pittsburgh,PA,15207,https://www.carnegielibrary.org/clp_location/hazelwood,yes,yes,no,Free parking adjacent to building,,Institutional,CLP_Hazelwood
-79.9766679529999,40.445459611,29,2928c7b6-1c36-4bf6-852c-00f89c70a3d5,Carnegie Library of Pittsburgh - Hill District,In building and on sidewalk,"24 hours/day, 7 days/week",CLP-Hill District,No,,No,Requires click-through on captive portal to access,2177 Centre Avenue,,Pittsburgh,PA,15219,https://www.carnegielibrary.org/clp_location/hill-district,yes,yes,no,Free parking on street,,Institutional,CLP_Hill_District
-79.8991792269999,40.4552951900001,30,5948f0a3-48d1-42c3-980d-512f53fb962c,Carnegie Library of Pittsburgh - Homewood,In building and on sidewalk,"24 hours/day, 7 days/week",CLP-Homewood,No,,No,Requires click-through on captive portal to access,7101 Hamilton,,Pittsburgh,PA,15208,https://www.carnegielibrary.org/clp_location/homewood,yes,yes,no,Free parking on street,,Institutional,CLP_Homewood
-79.989125545,40.4132446630001,31,d6c70c9f-bba5-4dc3-a90c-989c22936445,Carnegie Library of Pittsburgh - Knoxville,In building and on sidewalk,"24 hours/day, 7 days/week",CLP-Knoxville,No,,No,Requires click-through on captive portal to access,400 Brownsville Road,,Pittsburgh,PA,15210,https://www.carnegielibrary.org/clp_location/knoxville,yes,yes,no,,,Institutional,CLP_Knoxville
-79.959089996,40.4676002790001,32,05751965-8d75-4ee2-a0b0-a877791d8a32,Carnegie Library of Pittsburgh - Lawrenceville,In building and on sidewalk,"24 hours/day, 7 days/week",CLP-Lawrenceville,No,,No,Requires click-through on captive portal to access,279 Fisk Street,,Pittsburgh,PA,15201,https://www.carnegielibrary.org/clp_location/lawrenceville,yes,yes,no,,,Institutional,CLP_Lawrenceville
-79.949173891,40.4538187850001,33,73bebab3-8959-4866-a512-504eacd00366,Carnegie Library of Pittsburgh - Library for the Blind and Physically Handicapped,In building and on sidewalk,"24 hours/day, 7 days/week",CLP-LBPH,No,,No,Requires click-through on captive portal to access,4724 Baum Boulevard,,Pittsburgh,PA,15213,https://www.carnegielibrary.org/clp_location/library-for-the-blind-and-physically-handicapped,yes,yes,no,,,Institutional,CLP_LBPH
