ID,STATUS,NAME,LOCATION,MUNIC,ZIPCITY,ZIPCODE,COUNTY,X_COORD,Y_COORD,RESTRICT,CAPACITY,OWNER,PARK_FEE,D_PARK_FEE,M_PARK_FEE,SERV_TRANS,TRANS_OP_1,TRANS_OP_2
1,OPEN,OLYMPIA SHOPPING CENTER-WALNUT ST-MCKEESPORT,4313 WALNUT ST.,CITY OF MCKEESPORT,MCKEESPORT,15132,ALLEGHENY,40.3227,-79.83461,TRANSIT ONLY,50,PRIVATE,NO,$0.00 ,$0.00 ,YES,PORT AUTHORITY OF ALLEGHENY COUNTY,NONE
2,OPEN,DUQUESNE-LIBRARY PL AT DUQUESNE BLVD-DUQUESNE,RT 837 (DUQUESNE BLVD.) AT LIBRARY PL.,CITY OF DUQUESNE,DUQUESNE,15110,ALLEGHENY,40.37227,-79.84466,NONE,311,PORT AUTHORITY OF ALLEGHENY COUNTY,NO,$0.00 ,$0.00 ,YES,PORT AUTHORITY OF ALLEGHENY COUNTY,NONE
3,OPEN,NORTH VERSAILLES-GREENSBURG PIKE-NORTH VERSAILLES TWP,GREENSBURG PIKE OFF US 30 (LINCOLN HWY.),NORTH VERSAILLES TOWNSHIP,NORTH VERSAILLES,15137,ALLEGHENY,40.38864,-79.82348,NONE,200,PRIVATE,NO,$0.00 ,$0.00 ,YES,PORT AUTHORITY OF ALLEGHENY COUNTY,NONE
5,OPEN,FOREST HILLS-ARDMORE BLVD AT AVENUE B-FOREST HILLS BORO,US 30 (ARDMORE BLVD.) AT AVENUE B,FOREST HILLS BOROUGH,PITTSBURGH,15221,ALLEGHENY,40.41235,-79.84434,NONE,168,PRIVATE,NO,$0.00 ,$0.00 ,YES,PORT AUTHORITY OF ALLEGHENY COUNTY,NONE
7,OPEN,HOLIDAY PARK VFD-RT 286 AT OLD ABERS CREEK RD-PLUM BORO,GOLDEN MILE HWY. AT OLD ABERS CREEK RD.,PLUM BOROUGH,PITTSBURGH,15239,ALLEGHENY,40.46647,-79.70568,TRANSIT ONLY,92,PRIVATE,NO,$0.00 ,$0.00 ,YES,PORT AUTHORITY OF ALLEGHENY COUNTY,NONE
8,OPEN,ALPINE VILLAGE-RT 286 NEAR RT 22-MONROEVILLE,"RT 286 (GOLDEN MILE HWY.), EAST OF RT 22 (WILLIAM PENN HWY.)",MUNICIPALITY OF MONROEVILLE,MONROEVILLE,15146,ALLEGHENY,40.42897,-79.72008,TRANSIT ONLY,245,PORT AUTHORITY OF ALLEGHENY COUNTY,NO,$0.00 ,$0.00 ,YES,PORT AUTHORITY OF ALLEGHENY COUNTY,NONE
12,OPEN,MONROEVILLE MALL-LOWER MACYS LOT-MONROEVILLE,MALL CIRCLE DR. OFF RT. 22 (WILLIAM PENN HWY.),MUNICIPALITY OF MONROEVILLE,MONROEVILLE,15146,ALLEGHENY,40.42753,-79.79189,NONE,140,PRIVATE,NO,$0.00 ,$0.00 ,YES,PORT AUTHORITY OF ALLEGHENY COUNTY,NONE
13,OPEN,HEBRON UNITED PRESBYTERIAN CHURCH-FRANKSTOWN RD-PENN HILLS,10460 FRANKSTOWN RD. AT NELBON AVE.,MUNICIPALITY OF PENN HILLS,PITTSBURGH,15235,ALLEGHENY,40.46023,-79.84455,NONE,50,PRIVATE,NO,$0.00 ,$0.00 ,YES,PORT AUTHORITY OF ALLEGHENY COUNTY,NONE
15,OPEN,BEULAH PRESBYTERIAN CHURCH-MCCRADY RD AT BEULAH RD-CHURCHILL,2500 MCCRADY RD. AT RT. 130 (BEULAH RD.),CHURCHILL BOROUGH,PITTSBURGH,15235,ALLEGHENY,40.44614,-79.84741,NONE,100,PRIVATE,NO,$0.00 ,$0.00 ,YES,PORT AUTHORITY OF ALLEGHENY COUNTY,NONE
16,OPEN,EAST BUSWAY-WILKINSBURG STA-WALLACE AVE-WILKINSBURG,WALLACE AVE. AT PITT ST.,BOROUGH OF WILKINSBURG,WILKINSBURG,15221,ALLEGHENY,40.44733,-79.88852,TRANSIT ONLY,748,PORT AUTHORITY OF ALLEGHENY COUNTY,NO,$0.00 ,$0.00 ,YES,PORT AUTHORITY OF ALLEGHENY COUNTY,NONE
17,OPEN,EAST BUSWAY-HAMNETT STA-CENTER ST-WILKINSBURG,CENTER ST. OFF PENN AVE.,BOROUGH OF WILKINSBURG,WILKINSBURG,15221,ALLEGHENY,40.43738,-79.88492,TRANSIT ONLY,128,PORT AUTHORITY OF ALLEGHENY COUNTY,NO,$0.00 ,$0.00 ,YES,PORT AUTHORITY OF ALLEGHENY COUNTY,NONE
